key,kernel_url,local_directory
JWST,https://naif.jpl.nasa.gov/pub/naif/JWST/kernels/spk/jwst_pred.bsp,JWST/kernels/spk/jwst_pred.bsp
JWST,https://naif.jpl.nasa.gov/pub/naif/JWST/kernels/spk/jwst_rec.bsp,JWST/kernels/spk/jwst_rec.bsp
HST,https://naif.jpl.nasa.gov/pub/naif/HST/kernels/spk/hst.bsp,HST/kernels/spk/hst.bsp
Galileo,https://naif.jpl.nasa.gov/pub/naif/GLL/kernels/spk/gll_951120_021126_raj2021.bsp,GLL/kernels/spk/gll_951120_021126_raj2021.bsp
Juno,https://naif.jpl.nasa.gov/pub/naif/JUNO/kernels/spk/juno_pred_orbit.bsp,JUNO/kernels/spk/juno_pred_orbit.bsp
Juno,https://naif.jpl.nasa.gov/pub/naif/JUNO/kernels/spk/juno_rec_orbit.bsp,JUNO/kernels/spk/juno_rec_orbit.bsp
Cassini,https://naif.jpl.nasa.gov/pub/naif/CASSINI/kernels/spk/171215R_SCPSEops_97288_17258.bsp,CASSINI/kernels/spk/171215R_SCPSEops_97288_17258.bsp
Voyager1,https://naif.jpl.nasa.gov/pub/naif/VOYAGER/kernels/spk/vgr1.x2100.bsp,VOYAGER/kernels/spk/vgr1.x2100.bsp
Voyager2,https://naif.jpl.nasa.gov/pub/naif/VOYAGER/kernels/spk/vgr2.x2100.bsp,VOYAGER/kernels/spk/vgr2.x2100.bsp
